TIME,GEO,UNIT,DURATION,PARTNER,Value
2008,UK,PC_POP,N1-3,DOM,:
2008,UK,PC_POP,N1-3,DOT,:
2008,UK,PC_POP,N1-3,OUT,:
2008,UK,PC_POP,N1-3,WORLD,:
2008,UK,PC_POP,N_GE4,DOM,19.9
2008,UK,PC_POP,N_GE4,DOT,8.6
2008,UK,PC_POP,N_GE4,OUT,29.1
2008,UK,PC_POP,N_GE4,WORLD,57.6
2008,NO,PC_POP,N_GE1,DOM,:
2008,NO,PC_POP,N_GE1,DOT,:
2008,NO,PC_POP,N_GE1,OUT,:
2008,NO,PC_POP,N_GE1,WORLD,:
2008,NO,PC_POP,N1-3,DOM,:
2008,NO,PC_POP,N1-3,DOT,:
2008,NO,PC_POP,N1-3,OUT,:
2008,NO,PC_POP,N1-3,WORLD,:
2008,NO,PC_POP,N_GE4,DOM,16.3
2008,NO,PC_POP,N_GE4,DOT,30.1
2008,NO,PC_POP,N_GE4,OUT,29.7
2008,NO,PC_POP,N_GE4,WORLD,76.1
2008,CH,PC_POP,N_GE1,DOM,:
2008,CH,PC_POP,N_GE1,DOT,:
2008,CH,PC_POP,N_GE1,OUT,:
2008,CH,PC_POP,N_GE1,WORLD,:
2008,CH,PC_POP,N1-3,DOM,:
2008,CH,PC_POP,N1-3,DOT,:
2008,CH,PC_POP,N1-3,OUT,:
2008,CH,PC_POP,N1-3,WORLD,:
2008,CH,PC_POP,N_GE4,DOM,:
2008,CH,PC_POP,N_GE4,DOT,:
2008,CH,PC_POP,N_GE4,OUT,:
2008,CH,PC_POP,N_GE4,WORLD,70.5
2008,ME,PC_POP,N_GE1,DOM,:
2008,ME,PC_POP,N_GE1,DOT,:
2008,ME,PC_POP,N_GE1,OUT,:
2008,ME,PC_POP,N_GE1,WORLD,:
2008,ME,PC_POP,N1-3,DOM,:
2008,ME,PC_POP,N1-3,DOT,:
2008,ME,PC_POP,N1-3,OUT,:
2008,ME,PC_POP,N1-3,WORLD,:
2008,ME,PC_POP,N_GE4,DOM,:
2008,ME,PC_POP,N_GE4,DOT,:
2008,ME,PC_POP,N_GE4,OUT,:
2008,ME,PC_POP,N_GE4,WORLD,:
2008,MK,PC_POP,N_GE1,DOM,:
2008,MK,PC_POP,N_GE1,DOT,:
2008,MK,PC_POP,N_GE1,OUT,:
2008,MK,PC_POP,N_GE1,WORLD,:
2008,MK,PC_POP,N1-3,DOM,:
2008,MK,PC_POP,N1-3,DOT,:
2008,MK,PC_POP,N1-3,OUT,:
2008,MK,PC_POP,N1-3,WORLD,:
2008,MK,PC_POP,N_GE4,DOM,:
2008,MK,PC_POP,N_GE4,DOT,:
2008,MK,PC_POP,N_GE4,OUT,:
2008,MK,PC_POP,N_GE4,WORLD,:
2009,EU28,PC_POP,N_GE1,DOM,:
2009,EU28,PC_POP,N_GE1,DOT,:
2009,EU28,PC_POP,N_GE1,OUT,:
2009,EU28,PC_POP,N_GE1,WORLD,:
2009,EU28,PC_POP,N1-3,DOM,:
2009,EU28,PC_POP,N1-3,DOT,:
2009,EU28,PC_POP,N1-3,OUT,:
2009,EU28,PC_POP,N1-3,WORLD,:
2009,EU28,PC_POP,N_GE4,DOM,:
2009,EU28,PC_POP,N_GE4,DOT,:
2009,EU28,PC_POP,N_GE4,OUT,:
2009,EU28,PC_POP,N_GE4,WORLD,:
2009,EU27,PC_POP,N_GE1,DOM,:
2009,EU27,PC_POP,N_GE1,DOT,:
