EU15-2010,13.2,0
EU15-2011,14.3,0
EU15-2012,4.1,0
EU15-2013,0,0
EU15-2014,3.5,0
EU15-2015,12.5,0
EU15-2016,0,0
EU15-2017,4.2,0
EU15-2018,23.799999,0
EU25-1994,0,0
EU25-1995,0,0
EU25-1996,0,0
EU25-1997,0,0
EU25-1998,0,0
EU25-1999,0,0
EU25-2000,0,0
EU25-2001,0,0
EU25-2002,0,0
EU25-2003,0,0
EU25-2004,0,0
EU25-2005,0,0
EU25-2006,0,0
EU25-2007,0,0
EU25-2008,0,0
EU25-2009,0,0
EU25-2010,0,0
EU25-2011,0,0
EU25-2012,0,0
EU25-2013,0,0
EU25-2014,0,0
EU25-2015,0,0
EU25-2016,0,0
EU25-2017,0,0
EU25-2018,0,31.559999
EU27-1994,0,0
EU27-1995,0,0
EU27-1996,0,0
EU27-1997,0,0
EU27-1998,0,0
EU27-1999,0,0
EU27-2000,0,0
EU27-2001,0,0
EU27-2002,0,0
EU27-2003,0,0
EU27-2004,0,0
EU27-2005,0,0
EU27-2006,0,0
EU27-2007,0,0
EU27-2008,0,0
EU27-2009,0,0
EU27-2010,0,17.299999
EU27-2011,0,0
EU27-2012,0,31.5
EU27-2013,0,31.139999
EU27-2014,0,19.24
EU27-2015,0,11.44
EU27-2016,0,20.41
EU27-2017,0,0
EU27-2018,0,0
EU28-1994,0,0
EU28-1995,0,0
EU28-1996,0,0
EU28-1997,0,0
EU28-1998,0,0
EU28-1999,0,0
EU28-2000,0,0
EU28-2001,0,0
EU28-2002,0,0
EU28-2003,0,0
EU28-2004,11.5,0
EU28-2005,0,0
EU28-2006,12.6,0
EU28-2007,12.1,0
EU28-2008,1.9,0
EU28-2009,2.7,0
EU28-2010,13.9,0
EU28-2011,14.7,0
EU28-2012,3.9,31.450001
EU28-2013,0,0
EU28-2014,29.6,59.84
EU28-2015,3.9,11.4
EU28-2016,4.1,29.92
EU28-2017,12.3,0
EU28-2018,0,0
FI-1994,0,28.9
FI-1995,18,50.099998
FI-1996,0,0
FI-1997,10.6,0
FI-1998,12.4,50.5
FI-1999,0,51.200001
FI-2000,0,10.9
FI-2001,0,54.099998
FI-2002,0,29.799999
FI-2003,0,0
FI-2004,0,11.7
FI-2005,0,27.1
FI-2006,22.700001,0
FI-2007,0,0
FI-2008,21.4,0
FI-2009,23.299999,0
FI-2010,25.5,0
FI-2011,0,0
FI-2012,14.5,68.080002
FI-2013,0,68.760002
FI-2014,23.5,67.730003
FI-2015,27.200001,15.65
FI-2016,17,29.77
FI-2017,0,58.470001
FI-2018,16.9,30.32
FR-1994,0,0
FR-1995,62.400002,0
FR-1996,60.400002,0
FR-1997,0,4.7
FR-1998,30.6,0
FR-1999,43.599998,59.599998
FR-2000,41.799999,0
FR-2001,39.799999,0
FR-2002,30,0
FR-2003,0,12.4
FR-2004,0,0
FR-2005,26,0
FR-2006,41.5,0
FR-2007,41.900002,14.9
FR-2008,6.4,0
FR-2009,45.799999,65
FR-2010,49.200001,6.1
FR-2011,7.8,14
FR-2012,50,0
FR-2013,0,50.060001
FR-2014,32.200001,65.370003
FR-2015,59.200001,21.370001
FR-2016,8.3,0
FR-2017,53.200001,21.200001
FR-2018,48.700001,58.759998
HR-1994,0,0
HR-1995,0,0
HR-1996,0,0
HR-1997,0,0
HR-1998,0,0
HR-1999,0,0
HR-2000,0,0
HR-2001,0,0
HR-2002,26,0
HR-2003,25.700001,0
HR-2004,0,0
HR-2005,30.200001,0
HR-2006,32.799999,0
HR-2007,0,0
HR-2008,30.299999,5
HR-2009,21.5,38
HR-2010,43.400002,4.9
HR-2011,9.8,6.6
HR-2012,0,8.25
HR-2013,0,4.88
HR-2014,42.200001,9.89
HR-2015,0,8.26
HR-2016,0,4.71
HR-2017,22.1,8.56
HR-2018,0,7.11
HU-1994,0,0
HU-1995,0,0
HU-1996,0,0
HU-1997,0,0
HU-1998,49.400002,0
HU-1999,0,0
HU-2000,0,0
HU-2001,27.6,0
HU-2002,34.799999,0
HU-2003,6.2,0
HU-2004,0,0
HU-2005,0,0
HU-2006,0,0
HU-2007,0,0
HU-2008,9,0
HU-2009,43.299999,45
HU-2010,0,0
HU-2011,54.900002,0
HU-2012,0,19.33
HU-2013,0,34.5
HU-2014,52.400002,13.25
HU-2015,33.700001,14.86
HU-2016,0,36.720001
HU-2017,0,32.599998
HU-2018,17,33.290001
IE-1994,45.799999,0
IE-1995,43.900002,0
IE-1996,37.299999,0
IE-1997,19.5,0
IE-1998,0,0
IE-1999,18,0
IE-2000,19.5,0
IE-2001,11.9,0
IE-2002,0,0
IE-2003,0,0
IE-2004,8.4,0
IE-2005,0,0
IE-2006,0,0
IE-2007,11.1,0
IE-2008,0,0
IE-2009,0,0
IE-2010,0,0
IE-2011,0,0
IE-2012,31.700001,43.18
IE-2013,14.1,8.96
IE-2014,33.200001,19.33
IE-2015,29.200001,43.560001
IE-2016,23,45.970001
IE-2017,20.700001,46.619999
IE-2018,13.4,0
IS-1994,0,0
IS-1995,13.8,0
IS-1996,14.7,0
IS-1997,0,0
IS-1998,11.9,0
IS-1999,3.5,0
IS-2000,0,0
IS-2001,0,0
IS-2002,0,0
IS-2003,0,0
IS-2004,0,0
IS-2005,0,0
IS-2006,9.6,0
IS-2007,0,0
IS-2008,11.3,0
IS-2009,0,0
IS-2010,0,0
IS-2011,14.2,0
IS-2012,16.700001,0
IS-2013,0,0
IS-2014,21.200001,0
IS-2015,8.2,0
IS-2016,0,0
IS-2017,0,0
IS-2018,8,0
IT-1994,0,0
IT-1995,0,0
IT-1996,0,0
IT-1997,59.599998,0
IT-1998,0,0
IT-1999,59,6.7
IT-2000,0,0
IT-2001,3,0
IT-2002,54.599998,0
IT-2003,3.5,0
IT-2004,48.099998,7.1
IT-2005,51.799999,0
IT-2006,52.099998,0
IT-2007,51.299999,0
IT-2008,46.299999,0
IT-2009,10.5,0
IT-2010,14.2,0
IT-2011,12,0
IT-2012,9.9,8.49
IT-2013,11.8,30.74
IT-2014,64.099998,21.59
IT-2015,17.4,23.66
IT-2016,20.6,41.880001
IT-2017,21.1,0
IT-2018,80.099998,44.869999
LT-1994,0,0
LT-1995,0,0
LT-1996,0,0
LT-1997,0,0
LT-1998,29.9,0
LT-1999,0,0
LT-2000,0,0
LT-2001,0,0
LT-2002,0,0
LT-2003,0,0
LT-2004,0,9.7
LT-2005,0,0
LT-2006,0,0
LT-2007,0,27.1
LT-2008,0,0
LT-2009,0,0
LT-2010,0,0
LT-2011,0,27.299999
LT-2012,0,26.280001
LT-2013,0,27.790001
LT-2014,0,0.85
LT-2015,0,27.74
LT-2016,0,1.76
LT-2017,0,21.450001
LT-2018,0,20.74
LU-1994,0,0
LU-1995,0,0
LU-1996,0,0
LU-1997,7.9,62.5
LU-1998,0,0
LU-1999,0,0
LU-2000,0,0
LU-2001,0,0
LU-2002,0,0
LU-2003,0,0
LU-2004,0,0
LU-2005,0,0
LU-2006,0,0
LU-2007,0,0
LU-2008,0,0
LU-2009,0,0
LU-2010,0,4.7
LU-2011,0,0
LU-2012,0,0.63
LU-2013,22.299999,74.370003
LU-2014,0,9.45
LU-2015,20.799999,11.84
LU-2016,16.4,75.540001
LU-2017,8.8,71.580002
LU-2018,16.4,2.66
LV-1994,0,0
LV-1995,0,0
LV-1996,0,0
LV-1997,0,0
LV-1998,41.900002,0
LV-1999,21.200001,0
LV-2000,32.099998,0
LV-2001,0,0
LV-2002,0,0
LV-2003,0,0
LV-2004,27.5,0
LV-2005,26.200001,0
LV-2006,37.599998,0
LV-2007,0,0.2
LV-2008,0,0
LV-2009,35.5,0.3
LV-2010,0,0
LV-2011,0,0
LV-2012,0,30.290001
LV-2013,0,27.709999
LV-2014,29.6,8.7
LV-2015,0,18.15
LV-2016,0,20.059999
LV-2017,36.700001,23
LV-2018,0,0
ME-1994,0,0
ME-1995,0,0
ME-1996,0,0
ME-1997,0,0
ME-1998,0,0
ME-1999,0,0
ME-2000,0,0
ME-2001,0,0
ME-2002,0,0
ME-2003,0,0
ME-2004,0,0
ME-2005,0,0
ME-2006,0,0
ME-2007,0,0
ME-2008,0,0
ME-2009,0,0
ME-2010,0,0
ME-2011,0,0
ME-2012,0,0
ME-2013,0,0
ME-2014,30.799999,0
ME-2015,0,0
ME-2016,0,0
ME-2017,0,0
ME-2018,0,0
MK-1994,0,0
MK-1995,0,0
MK-1996,0,0
MK-1997,0,0
MK-1998,0,0
MK-1999,0,0
MK-2000,0,0
MK-2001,0,0
MK-2002,0,0
MK-2003,0,0
MK-2004,0,0
MK-2005,0,0
MK-2006,0,0
MK-2007,30.299999,0
MK-2008,41.400002,0
MK-2009,20,0
MK-2010,0,0
MK-2011,46.200001,0
MK-2012,25.9,0
MK-2013,35.099998,0
MK-2014,25,0
MK-2015,30.799999,0
MK-2016,42.299999,0
MK-2017,42,0
MK-2018,34.5,13.65
MT-1994,0,0
MT-1995,0,0
MT-1996,0,0
MT-1997,0,0
MT-1998,0,0
MT-1999,0,0
MT-2000,0,0
MT-2001,0,0
MT-2002,0,0
MT-2003,0,0
MT-2004,0,0
MT-2005,42,0
MT-2006,0,0
MT-2007,0,0
MT-2008,28.5,0
MT-2009,21.1,0
MT-2010,31.5,41.700001
MT-2011,0,36.099998
MT-2012,21.799999,12.54
MT-2013,17.5,36.009998
MT-2014,20.4,26.190001
MT-2015,0,5.35
MT-2016,9.6,34.279999
MT-2017,0,8.23
MT-2018,0,39.099998
NL-1994,10.5,0
NL-1995,4.2,0
NL-1996,1.2,0
NL-1997,1.5,0
NL-1998,6.6,0
NL-1999,0,68.800003
NL-2000,4.4,38.400002
NL-2001,0,36.799999
NL-2002,0,0
NL-2003,0,69.300003
NL-2004,0,69.5
NL-2005,0,0
NL-2006,0,0
NL-2007,3.5,68.300003
NL-2008,3.5,0
NL-2009,0,0
NL-2010,0.2,70.599998
NL-2011,7.3,26.9
NL-2012,9,23.450001
NL-2013,11.2,40.349998
NL-2014,11.2,72.260002
NL-2015,1.5,40.389999
NL-2016,0,41.98
NL-2017,1.2,24.469999
NL-2018,8.4,15.09
NO-1994,0,0
NO-1995,0,0
NO-1996,6.1,0
NO-1997,15.4,0
NO-1998,4.1,0
NO-1999,0,25.4
NO-2000,5.8,0
NO-2001,0,0
NO-2002,5.8,69.800003
NO-2003,7.1,0
NO-2004,1.8,0
NO-2005,11.5,21.6
NO-2006,13.2,0
NO-2007,0,0
NO-2008,10.2,0
NO-2009,10.9,27.6
NO-2010,3.9,0
NO-2011,13.2,0
